event_id,latitude,longitude,barrio,segmento,rango_etario,hora_del_dia
01322c66-cc69-4c68-852c-ffdecc3bc1fd,-34.67045,-58.414637,,Estándar,Joven,14
01d7ad9a-acf6-477d-9817-d81626e9a8c0,-34.604092,-58.527751,,Estándar,Adulto,14
0669ad6d-7775-4eb7-b29f-449f2d153af2,-34.534847,-58.403766,,Básico,Senior,14
095bec88-26c5-466c-acf6-08e1b718e6c2,-34.570879,-58.35241,,Estándar,Adulto,14
0dc97438-7230-44d0-be26-045ecb6f9d8e,-34.681873,-58.39167,,Estándar,Joven,14
0fc26e7f-3d1e-4cce-9002-b87b578cd652,-34.594873,-58.525224,,Premium,Senior,14
112b20a8-6a2b-4f4b-a68d-8dac58e98082,-34.699799,-58.451594,,Estándar,Joven,14
11b9be18-c8c4-4aa1-9173-4b28bc69890c,-34.683013,-58.395075,,Premium,Adulto,14
18c4a573-4815-43f2-89f0-bb5418c96e94,-34.553141,-58.5071,,Estándar,Senior,14
1ba7ec98-26b3-4fc0-a74e-9c7306f7208b,-34.672373,-58.390169,,Estándar,Senior,14
200b3c39-1b4a-46ee-ac02-fd9d46635673,-34.691707,-58.358592,,Estándar,Adulto,14
225ecfc6-43c5-40bd-8042-08db22a75c30,-34.663005,-58.408788,,Estándar,Senior,14
255d90d6-3011-4167-b482-c7486a7fdeff,-34.660134,-58.405988,,Estándar,Joven,14
2ecc370f-458d-4eaa-a096-d56e93a3181e,-34.687564,-58.372955,,Estándar,Adulto,14
35e9409d-7be8-49e6-8297-1e9706b10b49,-34.539284,-58.397271,,Estándar,Adulto,14
37ee65f2-4b5f-4582-b58d-8720c84249e4,-34.566228,-58.391913,,Básico,Adulto,14
3e2c75aa-f3ee-4986-935b-e7c71249fbb6,-34.541123,-58.373328,,Premium,Senior,14
433c828d-405b-44c4-8d9f-2f4f2d563d9f,-34.692399,-58.503189,,Básico,Adulto,14
44c318f1-6fe6-4cf8-b399-324104301d3c,-34.658034,-58.378523,,Estándar,Senior,14
48f96eb2-124c-4f29-8dcf-5c9be1af81cb,-34.537496,-58.355651,,Premium,Adulto,14
4a46d93f-7bb7-4023-96f5-1afc78f51123,-34.686648,-58.366299,,Premium,Senior,14
50d333b9-c09c-4c52-8991-4a4dabfa72e0,-34.674514,-58.509529,,Estándar,Adulto,14
5e1bdc1c-f151-412b-a216-ef2f1691f6b3,-34.673205,-58.518603,,Estándar,Adulto,14
5f552318-c49c-499c-b27c-f135939a2eb6,-34.66625,-58.376829,,Premium,Senior,14
61ea6045-97b5-4196-9318-315fcfa50162,-34.680394,-58.369206,,Estándar,Senior,14
65443d1d-9d14-4df7-8f97-1500f12f2919,-34.650988,-58.357029,,Básico,Adulto,14
6bfdcb05-2282-47d4-81d8-39390cbcbc50,-34.691072,-58.442824,,Básico,Adulto,14
6c51ab83-5e87-4660-b34d-e3c09c5c9334,-34.533938,-58.490728,,Básico,Senior,14
7741ce16-3160-42cb-842a-4c09a34ef497,-34.5478,-58.400244,,Básico,Adulto,14
7beb7449-f225-4346-ae9d-fd08d4496d70,-34.540609,-58.425853,,Premium,Adulto,14
7d53dbb2-f878-4a78-a04d-6c7d86494508,-34.53655,-58.519015,,Premium,Adulto,14
7ff9b9e3-26ca-489f-8648-8d0c21be9c45,-34.67586,-58.429442,,Básico,Senior,14
81c64371-3145-4f43-9a0b-98cf7ebb7b45,-34.550877,-58.365169,,Premium,Joven,14
850156f5-7f52-4532-8a30-758e48f1577d,-34.536535,-58.429389,,Premium,Senior,14
8619a3c1-1681-480b-8bb1-42de25f35671,-34.672561,-58.506067,,Básico,Senior,14
874e0dc9-fcfd-41c2-b6b4-303dc49217e1,-34.543827,-58.508742,,Premium,Adulto,14
93c924aa-c901-4a0b-a806-a6072364a187,-34.674621,-58.368484,,Básico,Adulto,14
